sample_id,episode_name,task_type,port_name,target_module_name,left_image,center_image,right_image,x_m,y_m,z_m,xy_m,x_mm,y_mm,z_mm,xy_mm,collect_pattern,collect_local_x_mm,collect_local_y_mm,collect_radius_mm,left_confidence,center_confidence,right_confidence,yolo_multiview_detect_count,triangulation_valid
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000000,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000000_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000000_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000000_right.png,0.005615806690061268,-0.00022378664267790069,-0.01670060424650699,0.005620263805336715,5.615806690061268,-0.2237866426779007,-16.70060424650699,5.620263805336715,gaussian,-8.396799426722149,-2.0556062589092443,8.644753189320577,0.8773720860481262,0.8251523971557617,0.0,2,True
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000001,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000001_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000001_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000001_right.png,0.004821095415145012,9.255005233975719e-05,-0.016677289332977244,0.004821983670038748,4.821095415145012,0.09255005233975719,-16.677289332977246,4.8219836700387475,gaussian,3.5363760646351063,5.05774102243188,6.1714422885184925,0.8773720860481262,0.8251523971557617,0.0,2,True
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000002,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000002_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000002_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000002_right.png,0.003604347217803173,0.0007840202183698458,-0.016631711501137014,0.0036886320729097085,3.604347217803173,0.7840202183698458,-16.631711501137016,3.6886320729097086,gaussian,-2.9997987214035797,4.578343644403399,5.4735749647907035,0.8773720860481262,0.8251523971557617,0.0,2,True
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000003,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000003_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000003_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000003_right.png,0.0025763426125290072,0.0025016482940720904,-0.01655348365928335,0.003591070236623978,2.5763426125290074,2.5016482940720906,-16.55348365928335,3.591070236623978,gaussian,-6.307811650328187,2.8880721851402185,6.937539099896779,0.8773720860481262,0.8251523971557617,0.0,2,True
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000004,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000004_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000004_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000004_right.png,0.0011761408430978712,0.0035158345692453213,-0.016452317541828215,0.003707344062951725,1.1761408430978713,3.5158345692453215,-16.452317541828215,3.707344062951725,gaussian,3.7317607075653743,-0.293059308246647,3.7432501568394847,0.8773720860481262,0.8251523971557617,0.0,2,True
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000005,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000005_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000005_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000005_right.png,3.1810827740559724e-05,0.004046225922554641,-0.016225892741654445,0.004046350966625942,0.031810827740559725,4.04622592255464,-16.225892741654445,4.046350966625942,gaussian,-0.1307623421421769,7.637818235488436,7.638937503899491,0.0,0.0,0.0,0,False
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000006,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000006_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000006_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000006_right.png,-0.0005947172069113053,0.004676493642193062,-0.0161643937593939,0.004714157543153232,-0.5947172069113053,4.676493642193062,-16.1643937593939,4.714157543153232,gaussian,1.5474508835022271,-2.7770231677902677,3.1790662011502246,0.0,0.0,0.0,0,False
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000007,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000007_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000007_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000007_right.png,-0.0009150876517563833,0.004854695234855412,-0.016051982186230898,0.0049401873682811724,-0.9150876517563833,4.854695234855412,-16.051982186230898,4.9401873682811726,gaussian,4.265683333502937,-8.50290811880123,9.512912318449096,0.8861933350563049,0.8657615780830383,0.0,2,True
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000008,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000008_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000008_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000008_right.png,-0.0010407114935195722,0.003419620533405716,-0.015892849650046836,0.003574476885536362,-1.0407114935195723,3.4196205334057157,-15.892849650046836,3.5744768855363622,gaussian,-0.4706760830844709,-4.347597066764723,4.373000826678285,0.8861933350563049,0.8657615780830383,0.0,2,True
20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000009,20260506_181642_nic_rail0_sfp_port_0_task_1,nic,sfp_port_0,nic_card_mount_0,images/left/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000009_left.png,images/center/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000009_center.png,images/right/20260506_181642_nic_rail0_sfp_port_0_task_1/20260506_181642_nic_rail0_sfp_port_0_task_1_collect_000009_right.png,-0.0010051826695386301,0.0014007182392179155,-0.015936255677821313,0.0017240660616167074,-1.0051826695386301,1.4007182392179154,-15.936255677821313,1.7240660616167074,gaussian,3.023542557958015,7.161923352869394,7.773992263448639,0.8861933350563049,0.8657615780830383,0.0,2,True
